iteration	evaluations	runtime[s]	f1[MIN]
64	1600	0.443	43470.45225554679
65	1625	0.447	43009.56785501502
66	1650	0.451	43009.56785501502
67	1675	0.455	43009.56785501502
68	1700	0.459	43009.56785501502
69	1725	0.463	42898.90830157263
70	1750	0.466	42898.90830157263
71	1775	0.47	42898.90830157263
72	1800	0.474	41866.5873482388
73	1825	0.478	41866.5873482388
74	1850	0.482	41866.5873482388
75	1875	0.486	41866.5873482388
76	1900	0.489	41786.78238580341
77	1925	0.493	41786.78238580341
78	1950	0.497	41786.78238580341
79	1975	0.501	41786.78238580341
80	2000	0.505	41786.78238580341
81	2025	0.509	41786.78238580341
82	2050	0.512	41786.78238580341
83	2075	0.516	41786.78238580341
84	2100	0.52	41786.78238580341
85	2125	0.524	41786.78238580341
86	2150	0.528	41395.77566372242
87	2175	0.532	41395.77566372242
88	2200	0.536	41395.77566372242
89	2225	0.54	41395.77566372242
90	2250	0.543	41395.77566372242
91	2275	0.547	41395.77566372242
92	2300	0.551	41039.44696059286
93	2325	0.555	41039.44696059286
94	2350	0.558	41039.44696059286
95	2375	0.562	41039.44696059286
96	2400	0.566	41039.44696059286
97	2425	0.569	40516.857568849904
98	2450	0.573	40516.857568849904
99	2475	0.577	40516.857568849904
100	2500	0.581	40516.857568849904
101	2525	0.585	40516.857568849904
102	2550	0.589	40516.857568849904
103	2575	0.593	39670.58436465763
104	2600	0.597	39518.978677688254
105	2625	0.601	39518.978677688254
106	2650	0.604	39518.978677688254
107	2675	0.608	39518.978677688254
108	2700	0.612	39518.978677688254
109	2725	0.616	39518.978677688254
110	2750	0.62	39518.978677688254
111	2775	0.624	39518.978677688254
112	2800	0.627	39518.978677688254
113	2825	0.631	39518.978677688254
114	2850	0.635	39518.978677688254
115	2875	0.638	39432.312783995614
116	2900	0.642	39423.197286300914
117	2925	0.645	38974.72525646458
118	2950	0.649	38759.742433152736
119	2975	0.653	38759.742433152736
120	3000	0.657	38759.742433152736
121	3025	0.662	38759.742433152736
122	3050	0.666	38590.844974225765
123	3075	0.669	38437.01412292096
124	3100	0.673	38437.01412292096
125	3125	0.677	38437.01412292096
126	3150	0.681	38437.01412292096
127	3175	0.685	38437.01412292096
128	3200	0.689	38167.02760213706
129	3225	0.693	38167.02760213706
130	3250	0.697	38110.10425355595
131	3275	0.701	38110.10425355595
132	3300	0.705	38110.10425355595
133	3325	0.709	37676.31581479884
134	3350	0.713	37468.129551969156
135	3375	0.716	37468.129551969156
136	3400	0.72	37176.5411509185
137	3425	0.724	37176.5411509185
138	3450	0.727	37176.5411509185
139	3475	0.731	37176.5411509185
140	3500	0.735	37176.5411509185
141	3525	0.738	37176.5411509185
142	3550	0.742	37176.5411509185
143	3575	0.745	36411.3180087259
144	3600	0.749	36411.3180087259
145	3625	0.752	36411.3180087259
146	3650	0.756	36350.95059132828
147	3675	0.759	36350.95059132828
148	3700	0.763	36350.95059132828
149	3725	0.767	36350.95059132828
150	3750	0.77	36291.92427590852
151	3775	0.774	36291.92427590852
152	3800	0.778	36291.92427590852
153	3825	0.781	36183.71907552743
154	3850	0.785	36109.03844749254
155	3875	0.788	36109.03844749254
156	3900	0.792	36109.03844749254
157	3925	0.796	36109.03844749254
158	3950	0.799	36017.40640620858
159	3975	0.803	35872.74533446066
160	4000	0.806	35362.18395891974
161	4025	0.81	35362.18395891974
162	4050	0.814	35362.18395891974
163	4075	0.817	35202.949778253154
164	4100	0.82	35202.949778253154
165	4125	0.824	35202.949778253154
166	4150	0.828	35077.62205554933
167	4175	0.831	35077.62205554933
168	4200	0.835	35077.62205554933
169	4225	0.851	35077.62205554933
170	4250	0.855	35077.62205554933
171	4275	0.859	35077.62205554933
172	4300	0.862	34472.8870781699
173	4325	0.866	34472.8870781699
174	4350	0.87	34472.8870781699
175	4375	0.873	34472.8870781699
176	4400	0.877	34472.8870781699
177	4425	0.881	34472.8870781699
178	4450	0.884	34472.8870781699
179	4475	0.888	34192.27968144154
180	4500	0.891	34192.27968144154
181	4525	0.895	34192.27968144154
182	4550	0.899	33857.09580826972
183	4575	0.902	33857.09580826972
184	4600	0.906	33857.09580826972
185	4625	0.91	33857.09580826972
186	4650	0.914	33857.09580826972
187	4675	0.917	33857.09580826972
188	4700	0.921	33854.755224129905
189	4725	0.924	33472.53711122372
