iteration	evaluations	runtime[s]	f1[MIN]
136	3400	0.772	37090.96220234494
137	3425	0.776	37090.96220234494
138	3450	0.78	36841.985331707205
139	3475	0.783	36841.985331707205
140	3500	0.787	36841.985331707205
141	3525	0.791	36841.985331707205
142	3550	0.794	36841.985331707205
143	3575	0.798	36396.05429777854
144	3600	0.802	36396.05429777854
145	3625	0.805	36396.05429777854
146	3650	0.809	36396.05429777854
147	3675	0.813	36396.05429777854
148	3700	0.816	36396.05429777854
149	3725	0.82	36274.16851791479
150	3750	0.824	36274.16851791479
151	3775	0.827	36274.16851791479
152	3800	0.831	35973.95004799055
153	3825	0.835	35973.95004799055
154	3850	0.838	35973.95004799055
155	3875	0.842	35706.64451426257
156	3900	0.846	35706.64451426257
157	3925	0.849	35706.64451426257
158	3950	0.853	35706.64451426257
159	3975	0.857	35706.64451426257
160	4000	0.861	35130.750565173665
161	4025	0.865	35130.750565173665
162	4050	0.868	35130.750565173665
163	4075	0.872	35130.750565173665
164	4100	0.876	34697.2549682072
165	4125	0.879	34697.2549682072
166	4150	0.883	34697.2549682072
167	4175	0.887	34697.2549682072
168	4200	0.891	34588.06433539559
169	4225	0.894	34588.06433539559
170	4250	0.898	34565.894219411144
171	4275	0.901	34565.894219411144
172	4300	0.905	34565.894219411144
173	4325	0.909	34565.894219411144
174	4350	0.912	33655.616268986705
175	4375	0.916	33655.616268986705
176	4400	0.92	33655.616268986705
177	4425	0.924	33655.616268986705
178	4450	0.927	33655.616268986705
179	4475	0.931	33655.616268986705
180	4500	0.935	33655.616268986705
181	4525	0.939	33655.616268986705
182	4550	0.942	33655.616268986705
183	4575	0.946	33655.616268986705
184	4600	0.95	33655.616268986705
185	4625	0.954	33655.616268986705
186	4650	0.957	33655.616268986705
187	4675	0.961	33655.616268986705
188	4700	0.965	33655.616268986705
189	4725	0.968	33655.616268986705
