iteration	evaluations	runtime[s]	distance[MIN]
159	3975	0.495	7299.318814459906
160	4000	0.497	7299.318814459906
161	4025	0.499	7299.318814459906
162	4050	0.501	7299.318814459906
163	4075	0.503	7256.736893458775
164	4100	0.505	7256.736893458775
165	4125	0.507	7225.524086306039
166	4150	0.508	7225.524086306039
167	4175	0.51	7225.524086306039
168	4200	0.512	7225.524086306039
169	4225	0.514	7225.524086306039
170	4250	0.516	7225.524086306039
171	4275	0.518	7225.524086306039
172	4300	0.52	7225.524086306039
173	4325	0.522	7155.949995767302
174	4350	0.523	7155.949995767302
175	4375	0.525	7155.949995767302
176	4400	0.527	7111.573869476445
177	4425	0.528	7111.573869476445
178	4450	0.53	7111.573869476445
179	4475	0.532	7111.573869476445
180	4500	0.533	7111.573869476445
181	4525	0.535	7111.573869476445
182	4550	0.537	7111.573869476445
183	4575	0.538	7111.573869476445
184	4600	0.54	7111.573869476445
185	4625	0.542	7111.573869476445
186	4650	0.543	7111.573869476445
187	4675	0.545	7077.802938295837
188	4700	0.546	7077.802938295837
