iteration	evaluations	runtime[s]	f1[MIN]
129	12900	3.967	50698.963798772245
130	13000	3.995	50698.963798772245
131	13100	4.023	50698.963798772245
132	13200	4.05	50698.963798772245
133	13300	4.079	50698.963798772245
134	13400	4.107	50698.963798772245
135	13500	4.136	50698.963798772245
136	13600	4.164	50698.963798772245
137	13700	4.193	50698.963798772245
138	13800	4.221	50698.963798772245
139	13900	4.25	50698.963798772245
140	14000	4.279	50698.963798772245
141	14100	4.308	50698.963798772245
142	14200	4.336	50698.963798772245
143	14300	4.365	50698.963798772245
144	14400	4.393	50698.963798772245
145	14500	4.421	50698.963798772245
146	14600	4.45	50698.963798772245
147	14700	4.478	50698.963798772245
148	14800	4.507	50698.963798772245
149	14900	4.535	50698.963798772245
150	15000	4.564	50698.963798772245
151	15100	4.592	50698.963798772245
152	15200	4.621	50698.963798772245
153	15300	4.649	50698.963798772245
154	15400	4.678	50698.963798772245
155	15500	4.706	50698.963798772245
156	15600	4.734	50698.963798772245
157	15700	4.762	50698.963798772245
158	15800	4.79	50698.963798772245
159	15900	4.818	50698.963798772245
160	16000	4.847	50698.963798772245
161	16100	4.875	50698.963798772245
162	16200	4.903	50698.963798772245
163	16300	4.931	50698.963798772245
164	16400	4.959	50698.963798772245
165	16500	4.987	50698.963798772245
166	16600	5.016	50698.963798772245
167	16700	5.045	50698.963798772245
168	16800	5.074	50698.963798772245
169	16900	5.102	50698.963798772245
170	17000	5.131	50698.963798772245
171	17100	5.161	50698.963798772245
172	17200	5.189	50698.963798772245
173	17300	5.218	50698.963798772245
174	17400	5.246	50698.963798772245
175	17500	5.273	50698.963798772245
176	17600	5.301	50698.963798772245
177	17700	5.329	50698.963798772245
178	17800	5.358	50698.963798772245
179	17900	5.386	50698.963798772245
180	18000	5.414	50698.963798772245
181	18100	5.442	50698.963798772245
182	18200	5.47	50698.963798772245
183	18300	5.499	50544.20694267088
184	18400	5.526	50544.20694267088
185	18500	5.555	50544.20694267088
186	18600	5.583	50544.20694267088
187	18700	5.612	50544.20694267088
