iteration	evaluations	runtime[s]	distance[MIN]
67	10720	3.746	1156.2051841756845
68	10880	3.802	1156.2051841756845
69	11040	3.859	1155.5562511699702
70	11200	3.921	1155.5562511699702
71	11360	3.979	1155.5562511699702
72	11520	4.036	1155.5562511699702
73	11680	4.093	1155.5562511699702
74	11840	4.151	1155.5562511699702
75	12000	4.208	1155.5562511699702
76	12160	4.264	1155.5562511699702
77	12320	4.319	1155.5562511699702
78	12480	4.374	1155.5562511699702
79	12640	4.431	1155.5562511699702
80	12800	4.488	1155.5562511699702
81	12960	4.543	1155.5562511699702
82	13120	4.6	1155.5562511699702
83	13280	4.655	1155.5562511699702
84	13440	4.71	1155.5562511699702
85	13600	4.766	1155.5562511699702
86	13760	4.82	1155.5562511699702
87	13920	4.876	1155.5562511699702
88	14080	4.928	1155.5562511699702
89	14240	4.981	1155.5562511699702
90	14400	5.034	1155.5562511699702
91	14560	5.087	1155.5562511699702
92	14720	5.138	1155.5562511699702
93	14880	5.193	1155.5562511699702
94	15040	5.246	1155.5562511699702
95	15200	5.301	1155.5562511699702
96	15360	5.353	1155.5562511699702
97	15520	5.405	1155.5562511699702
98	15680	5.458	1155.5562511699702
99	15840	5.509	1155.5562511699702
100	16000	5.562	1155.5562511699702
101	16160	5.616	1155.5562511699702
102	16320	5.674	1155.5562511699702
103	16480	5.73	1155.5562511699702
104	16640	5.783	1155.5562511699702
105	16800	5.841	1155.5562511699702
106	16960	5.898	1155.5562511699702
107	17120	5.953	1155.5562511699702
108	17280	6.011	1155.5562511699702
109	17440	6.07	1155.5562511699702
110	17600	6.13	1155.5562511699702
111	17760	6.201	1155.5562511699702
112	17920	6.262	1155.5562511699702
113	18080	6.323	1155.5562511699702
114	18240	6.391	1155.5562511699702
115	18400	6.453	1155.5562511699702
116	18560	6.516	1155.5562511699702
117	18720	6.583	1155.5562511699702
118	18880	6.647	1155.5562511699702
119	19040	6.708	1155.5562511699702
120	19200	6.77	1155.5562511699702
121	19360	6.834	1155.5562511699702
122	19520	6.921	1155.5562511699702
123	19680	6.999	1155.5562511699702
124	19840	7.079	1155.5562511699702
125	20000	7.151	1155.5562511699702
126	20160	7.212	1155.5562511699702
127	20320	7.279	1155.5562511699702
128	20480	7.336	1155.5562511699702
129	20640	7.395	1155.5562511699702
130	20800	7.462	1155.5562511699702
131	20960	7.52	1155.5562511699702
132	21120	7.578	1155.5562511699702
133	21280	7.637	1155.5562511699702
134	21440	7.699	1155.5562511699702
135	21600	7.785	1155.5562511699702
136	21760	7.863	1155.5562511699702
137	21920	7.939	1155.5562511699702
138	22080	8.024	1155.5562511699702
139	22240	8.101	1155.5562511699702
140	22400	8.177	1155.5562511699702
141	22560	8.246	1155.5562511699702
142	22720	8.317	1155.5562511699702
143	22880	8.403	1155.5562511699702
144	23040	8.489	1155.5562511699702
145	23200	8.562	1155.5562511699702
146	23360	8.63	1155.5562511699702
147	23520	8.682	1155.5562511699702
148	23680	8.738	1155.5562511699702
149	23840	8.792	1155.5562511699702
150	24000	8.845	1155.5562511699702
151	24160	8.907	1155.5562511699702
152	24320	8.969	1155.5562511699702
153	24480	9.028	1155.5562511699702
154	24640	9.087	1155.5562511699702
155	24800	9.147	1155.5562511699702
156	24960	9.204	1155.5562511699702
157	25120	9.261	1155.5562511699702
158	25280	9.314	1155.5562511699702
159	25440	9.368	1155.5562511699702
160	25600	9.419	1155.5562511699702
161	25760	9.473	1155.5562511699702
162	25920	9.526	1155.5562511699702
163	26080	9.579	1155.5562511699702
164	26240	9.635	1155.5562511699702
165	26400	9.688	1155.5562511699702
166	26560	9.745	1155.5562511699702
167	26720	9.799	1155.5562511699702
168	26880	9.852	1155.5562511699702
169	27040	9.905	1155.5562511699702
170	27200	9.96	1155.5562511699702
171	27360	10.012	1155.5562511699702
172	27520	10.065	1155.5562511699702
173	27680	10.121	1155.5562511699702
174	27840	10.176	1155.5562511699702
175	28000	10.232	1155.5562511699702
176	28160	10.285	1155.5562511699702
