iteration	evaluations	runtime[s]	f1[MIN]
113	5650	0.302	39882.32481316008
114	5700	0.303	39816.71303723297
115	5750	0.305	39708.80922701538
116	5800	0.307	39582.08407661751
117	5850	0.308	39582.08407661751
118	5900	0.31	39504.55716253441
119	5950	0.311	39477.58583571628
120	6000	0.313	39398.70425256952
121	6050	0.314	39328.200879500306
122	6100	0.316	39241.23084055615
123	6150	0.317	39192.28093756252
124	6200	0.319	39140.43383979782
125	6250	0.32	39098.00703131183
126	6300	0.321	39028.549039180376
127	6350	0.324	38973.58108828894
128	6400	0.326	38904.77610101485
129	6450	0.327	38865.64257468827
130	6500	0.329	38735.23311616963
131	6550	0.331	38688.8937162199
132	6600	0.332	38621.30567638772
133	6650	0.333	38570.354354600975
134	6700	0.335	38534.05538176646
135	6750	0.336	38437.13446649069
136	6800	0.338	38373.82904907873
137	6850	0.339	38364.05739246705
138	6900	0.341	38268.930107119486
139	6950	0.342	38198.874259778146
140	7000	0.344	38191.14131110754
141	7050	0.345	38089.487147111824
142	7100	0.347	37972.76010612869
143	7150	0.348	37964.67114921426
144	7200	0.35	37893.92933954393
145	7250	0.351	37836.40183871919
146	7300	0.353	37786.596146148564
147	7350	0.354	37676.52338364786
148	7400	0.356	37671.944935285064
149	7450	0.357	37523.79660937156
150	7500	0.359	37511.9951817888
151	7550	0.36	37411.354976989285
152	7600	0.362	37344.52179420689
153	7650	0.364	37318.08036831118
154	7700	0.366	37271.96601937854
155	7750	0.368	37134.65713771468
156	7800	0.37	37103.43057273161
157	7850	0.371	37036.28944180584
158	7900	0.373	36969.54205624214
159	7950	0.375	36918.80464272663
160	8000	0.377	36795.23151046144
161	8050	0.379	36696.49357856564
162	8100	0.381	36670.541157616615
163	8150	0.383	36635.14406575269
164	8200	0.384	36596.47907282956
165	8250	0.386	36498.13833722083
166	8300	0.388	36457.62631122477
167	8350	0.39	36382.27824856738
168	8400	0.391	36261.41568576941
169	8450	0.393	36213.67037113172
170	8500	0.394	36205.58241492653
171	8550	0.396	36128.95219270779
172	8600	0.397	36093.17849474262
173	8650	0.399	36041.03573564294
174	8700	0.4	35942.22211000625
175	8750	0.402	35850.82452504872
176	8800	0.403	35770.407145030884
177	8850	0.405	35744.75119514559
178	8900	0.406	35674.324160892014
179	8950	0.408	35577.59814749262
180	9000	0.41	35552.861100750684
181	9050	0.413	35518.88276571487
182	9100	0.414	35404.80798243904
183	9150	0.415	35382.90455184752
184	9200	0.417	35286.82317458741
185	9250	0.419	35273.15957414536
186	9300	0.421	35229.31654761861
187	9350	0.422	35158.44405531844
188	9400	0.424	35106.308973523504
